search_keyword,search_country,id,title,company,location,category,contract_type,contract_time,salary_min,salary_max,salary_is_predicted,created,description,is_ai_related,salary_avg,created_date,currency,country_name
artificial intelligence,gb,5589106591,Artificial Intelligence (AI) Consultant,American Bureau of Shipping,"Warrington, Cheshire",IT Jobs,,full_time,57647.76,57647.76,1,2026-01-17 09:32:55+00:00,"Description ABS is seeking an exceptional Artificial Intelligence (AI) Consultant to join us full-time in our AI Practice Team, Europe. In this role, you will coordinate and support the full lifecycle of AI projects, keeping delivery aligned between clients and our technical teams across strategy, solutions, and execution. You will stay close to day-to-day project activity, ensuring requirements are clearly understood, work is well-structured, and the right experts are engaged at the right time…",True,57647.76,2026-01-17,GBP,United Kingdom
artificial intelligence,gb,5752148580,"Data Scientist, Artificial Intelligence",FTI Consulting,"London, UK",IT Jobs,,full_time,82642.47,82642.47,1,2026-06-04 17:03:10+00:00,"Who We Are FTI Consulting is the leading global expert firm for organizations facing crisis and transformation. We work with many of the world’s top multinational corporations, law firms, banks and private equity firms on their most important issues to deliver impact that makes a difference. From resolving disputes, navigating crises, managing risk and optimizing performance, our teams respond rapidly to dynamic and complex situations. At FTI Consulting, you’ll work side-by side with leaders wh…",True,82642.47,2026-06-04,GBP,United Kingdom
artificial intelligence,gb,5743574500,Computer Vision and Artificial Intelligence Engineer,MBDA,"Bristol, South West England",Engineering Jobs,,full_time,60706.29,60706.29,1,2026-05-28 16:06:02+00:00,"As a Computer Vision and Artificial Intelligence Engineer within the Image Processing UK department, you will play a critical role in the development of MBDA products and technologies. You will be an important member of a department that produces world-beating algorithms. Salary : Up to £62,000 depending on experience Dynamic (hybrid) working : 4-5 days per week on-site due to workload classification Security Clearance : British Citizen or a Dual UK national with British citizenship Restriction…",True,60706.29,2026-05-28,GBP,United Kingdom
artificial intelligence,gb,5841931915,Machine Learning & Artificial Intelligence Engineer,GE Vernova,"Rugby, Warwickshire",Engineering Jobs,,full_time,60888.58,60888.58,1,2026-08-14 16:21:16+00:00,"Job Description Summary Become part of a winning team and help to deliver the Green Energy transition. This position will be responsible for developing ML & AI methodologies. Main focus of the role: o APOW (Automated Process and Optimisation Workbench) - tool reconstruction, develop this tool and develop new ideas. o Programming o Machine Learning & AI o Mentoring and supervising a team of 4 GE Vernova is a multi-national organisation, employing over 80,000 people worldwide. In the GE Vernova G…",True,60888.58,2026-08-14,GBP,United Kingdom
artificial intelligence,gb,5836776354,Graduate AI (Artificial Intelligence) Assistant,Agility,"Lancaster, Lancashire",Graduate Jobs,contract,part_time,27000.0,27000.0,0,2026-08-11 15:15:09+00:00,"AI Assistant – Graduate Opportunity Lancaster | Part Time | Short-Term Contract £27,000 per annum pro rata Your first real-world AI role could start here. Are you a recent graduate who is fascinated by Artificial Intelligence and excited about what it can do? Do you find yourself experimenting with ChatGPT, Copilot or other AI tools and thinking, “Surely there’s a better way of doing this?” If so, this could be the opportunity you’ve been looking for. A growing Lancaster-based business is looki…",True,27000.0,2026-08-11,GBP,United Kingdom
artificial intelligence,gb,5210479630,CS50's Introduction to Artificial Intelligence with Python,Harvard University,UK,IT Jobs,,,36119.32,36119.32,1,2025-05-22 08:54:15+00:00,"Course description AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career. CS50’s Introduction to Artificial Intelligence with Python explores the concepts and …",True,36119.32,2025-05-22,GBP,United Kingdom
artificial intelligence,gb,5821379265,Global Director of Innovation & Artificial Intelligence,Croda International,"West Cowick, Goole",IT Jobs,,,68240.31,68240.31,1,2026-07-30 18:17:46+00:00,"Global Director of Innovation & Artificial Intelligence Croda is a FTSE100 organisation where we truly believe our people are our difference and this, along with our values of Innovative, Responsible and Together, create ‘our Purpose, Smart science to improve lives™’. With over 5,000 employees globally, we specialise in the research and development of innovative ingredients for the Life Science and Consumer Care markets. As the Global Director of Innovation & AI, you will build and run a cross …",True,68240.31,2026-07-30,GBP,United Kingdom
artificial intelligence,gb,5752143328,Senior Data Scientist | Artificial Intelligence,FTI Consulting,"London, UK",IT Jobs,,full_time,90555.67,90555.67,1,2026-06-04 16:57:38+00:00,"Who We Are FTI Consulting is the leading global expert firm for organizations facing crisis and transformation. We work with many of the world’s top multinational corporations, law firms, banks and private equity firms on their most important issues to deliver impact that makes a difference. From resolving disputes, navigating crises, managing risk and optimizing performance, our teams respond rapidly to dynamic and complex situations. At FTI Consulting, you’ll work side-by side with leaders wh…",True,90555.67,2026-06-04,GBP,United Kingdom
artificial intelligence,gb,5841094082,Machine Learning & Artificial Intelligence Engineer,GE Vernova,"Rugby, Warwickshire",Engineering Jobs,,,60201.54,60201.54,1,2026-08-14 02:36:04+00:00,"Job Description Summary Become part of a winning team and help to deliver the Green Energy transition. This position will be responsible for developing ML & AI methodologies. Main focus of the role: oAPOW (Automated Process and Optimisation Workbench) - tool reconstruction, develop this tool and develop new ideas. oProgramming oMachine Learning & AI oMentoring and supervising a team of 4 GE Vernova is a multi-national organisation, employing over 80,000 people worldwide. In the GE Vernova Gas P…",True,60201.54,2026-08-14,GBP,United Kingdom
artificial intelligence,gb,5548413701,Applied Research - Artificial Intelligence - London - Associate,Goldman Sachs,"London, UK",IT Jobs,,,59275.71,59275.71,1,2025-12-19 09:40:07+00:00,"Description What We Do At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn dat…",True,59275.71,2025-12-19,GBP,United Kingdom
artificial intelligence,gb,5843190484,"Senior Specialist, Data Science & Artificial Intelligence",Novartis,"London, UK",IT Jobs,,full_time,57050.0,105950.0,0,2026-08-15 16:38:03+00:00,"Salary Range: £57,050.00 - £105,950.00 Job Description Summary LI-Hybrid Location: London, United Kingdom Relocation Support: This role is based in London, United Kingdom. Novartis is unable to offer relocation support: please only apply if accessible. What if your expertise in artificial intelligence could help bring life-changing medicines to patients faster? At Novartis, you'll join our AI & Data Engineering team within Advanced Quantitative Sciences, where you'll transform complex scientifi…",True,81500.0,2026-08-15,GBP,United Kingdom
artificial intelligence,gb,5210488821,Artificial Intelligence Senior Analyst- Insights and Intelligence,accenture,UK,IT Jobs,,full_time,54459.18,54459.18,1,2025-05-22 08:55:26+00:00,"Skill required: Artificial Intelligence Innovation - Data Science Designation: Artificial Intelligence Senior Analyst Job Location: Bengaluru Qualifications: BE/BTech/MTech/Phd Years of Experience: 5 to 8 years About Accenture Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Ac…",True,54459.18,2025-05-22,GBP,United Kingdom
artificial intelligence,gb,5840396080,Research AI (Artificial Intelligence) Transformation Lead,Deutsche Bank,"London, UK",IT Jobs,,full_time,58360.4,58360.4,1,2026-08-13 16:28:10+00:00,Job Description: Job Title: Research AI (Artificial Intelligence) Transformation Lead Location: London Corporate Title: Director/Managing Director We are seeking an AI Transformation Lead to drive the strategic integration and adoption of AI technologies across the global division. This senior leadership role will shape the future of research analysis and digital content delivery by leveraging advanced AI capabilities. You will be responsible for defining and executing the AI strategy for the R…,True,58360.4,2026-08-13,GBP,United Kingdom
artificial intelligence,gb,5785367889,Senior ML Research Engineer - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,97801.02,97801.02,1,2026-07-02 12:38:43+00:00,"Senior ML Research Engineer - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10051918 Description & Requirements Bloomberg’s Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector databas…",True,97801.02,2026-07-02,GBP,United Kingdom
artificial intelligence,gb,5785368065,Senior ML Platform Engineer - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,94626.98,94626.98,1,2026-07-02 12:38:53+00:00,"Senior ML Platform Engineer - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10049302 Description & Requirements Bloomberg’s Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector databas…",True,94626.98,2026-07-02,GBP,United Kingdom
artificial intelligence,gb,5785359437,Senior GenAI Platform Engineer - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,71481.34,71481.34,1,2026-07-02 12:27:07+00:00,"Senior GenAI Platform Engineer - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10050409 Description & Requirements Bloomberg’s Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector data…",True,71481.34,2026-07-02,GBP,United Kingdom
artificial intelligence,gb,5771200338,Senior ML Research Engineer - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,98837.29,98837.29,1,2026-06-21 01:36:48+00:00,"Senior ML Research Engineer - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10051918 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector databas…",True,98837.29,2026-06-21,GBP,United Kingdom
artificial intelligence,gb,5701935699,Senior GenAI Platform Engineer - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,74193.35,74193.35,1,2026-04-17 01:03:02+00:00,"Senior GenAI Platform Engineer - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10050409 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector data…",True,74193.35,2026-04-17,GBP,United Kingdom
artificial intelligence,gb,5640497396,Senior ML Platform Engineer - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,96984.41,96984.41,1,2026-02-21 21:48:48+00:00,"Senior ML Platform Engineer - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10049302 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector databas…",True,96984.41,2026-02-21,GBP,United Kingdom
artificial intelligence,gb,5801173809,Freelancer Assessor - Artificial Intelligence for Apprenticeship Assessment,1st for Awarding,UK,Teaching Jobs,contract,,34834.6,34834.6,1,2026-07-15 13:46:22+00:00,"We are seeking an independent assessor to assess the Artificial Intelligence Level 4 apprenticeship standard. Assessors must have recent experience working in the sector or in senior AI roles. Assessments are carried out primarily remotely, via video calling. It can be done from anywhere in the UK as long as you have a computer, webcam and strong internet connection. The assessments include a project with questioning and a professional discussion based on a portfolio of evidence. This is a flex…",True,34834.6,2026-07-15,GBP,United Kingdom
artificial intelligence,gb,5210487027,Artificial Intelligence Associate - Intelligent Automation Enablement,accenture,UK,IT Jobs,,full_time,50904.06,50904.06,1,2025-05-22 08:55:16+00:00,"Skill required: Intelligent Automation Enablement - Life Sciences Automation Enablement Designation: Clinical Data Programming Associate Job Location: Bengaluru Qualifications: BE/BTech/MCA/BCA Years of Experience: 1 to 3 years About Accenture Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations…",True,50904.06,2025-05-22,GBP,United Kingdom
artificial intelligence,gb,5822109194,Senior Technologist Artificial Intelligence R and D,Hackajob Ltd,"Chelmsford, Essex",Engineering Jobs,,,40000.0,40000.0,0,2026-07-31 08:44:10+00:00,"hackajob is partnering directly with BAE Systems Digital Intelligence to hire for this role. Location(s): UK, Europe & Africa : UK : Great Baddow BAE Systems Digital Intelligence is home to 4,500 digital, cyber and intelligence experts. We work collaboratively across 10 countries to collect, connect and understand complex data, so that governments, nation states, armed forces and commercial businesses can unlock digital advantage in the most demanding environments. Job Title: Senior Technologis…",True,40000.0,2026-07-31,GBP,United Kingdom
artificial intelligence,gb,5841093430,Artificial Intelligence (AI) Offensive Security Analyst,Citigroup,"London, UK",IT Jobs,,full_time,65098.04,65098.04,1,2026-08-14 02:35:44+00:00,"Why Citi Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governments, and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management. As a bank with a brain and a soul, Citi creates economic value that is systemically…",True,65098.04,2026-08-14,GBP,United Kingdom
artificial intelligence,gb,5585927722,"Software Engineer, Applied Artificial Intelligence (AI)",American Bureau of Shipping,"Warrington, Cheshire",IT Jobs,,full_time,62541.57,62541.57,1,2026-01-15 09:37:47+00:00,"Description ABS is seeking an exceptional Software Engineer to join our Applied Artificial IntelIigence (AI) Practice Team. In this full-time role, you will design, build, and deploy intelligent systems that move beyond research into production at scale. You will focus on architecting and evaluating multi-agent systems, retrieval-augmented generation (RAG) pipelines, and fine-tuned large language models delivering AI capabilities that drive measurable business impact. What You Will Do: • Build …",True,62541.57,2026-01-15,GBP,United Kingdom
artificial intelligence,gb,5802436583,Microsoft AI Engineer / Azure Artificial Intelligence Engineer,Huxley Associates,"London, UK",IT Jobs,permanent,,100000.0,100000.0,0,2026-07-16 08:43:39+00:00,"Microsoft AI Engineer / Azure Artificial Intelligence Engineer This is a new and exclusive opportunity for a Microsoft AI Engineer / Azure Artificial Intelligence Engineer to join this thriving technology business as they grow their AI Risk Management & Governance team The AI Security Engineer is responsible for securing AI platforms and systems against adversarial threats. The role focuses on technical security controls, threat modelling, red teaming, and continuous monitoring of AI systems. R…",True,100000.0,2026-07-16,GBP,United Kingdom
artificial intelligence,gb,5838439608,Investment Research Artificial Intelligence (AI) Adoption Specialist,Deutsche Bank,UK,IT Jobs,,full_time,54074.76,54074.76,1,2026-08-12 16:13:50+00:00,Job Description: Job Title: Investment Research Artificial Intelligence (AI) Adoption Specialist Location: London Corporate Title: Vice President/Associate The Research Division is actively investing in Artificial Intelligence (AI) to enhance its analytical capabilities and deliver cutting-edge insights to clients. We are seeking a highly motivated AI Transformation Specialist to join our team. This role is needed to support the strategic adoption and implementation of AI across our research fu…,True,54074.76,2026-08-12,GBP,United Kingdom
artificial intelligence,gb,5737564646,"Vice President, Business Technology Liaison – (Artificial Intelligence)",BNY Mellon,"Manchester Science Park, Manchester",IT Jobs,,full_time,92817.26,92817.26,1,2026-05-22 13:18:55+00:00,"Description Vice President, Business Technology Liaison (AI) At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worl…",True,92817.26,2026-05-22,GBP,United Kingdom
artificial intelligence,gb,5794840081,Programme Manager - Artificial Intelligence (12 month FTC),techUK,"London, UK",IT Jobs,contract,full_time,40000.0,40000.0,0,2026-07-10 00:35:19+00:00,"Job Title: Programme Manager - Artificial Intelligence (12 month FTC) Location: London / Hybrid Salary : £35,000 - £42,000 per annum based upon experience plus discretionary bonus and comprehensive benefits Job Type: Full Time, 12 month Fixed Term Contract Role purpose This new role offers an exciting opportunity to join our fast-paced Tech and Innovation programme that leads techUK's activity around a range of emerging technologies including AI, Robotics, Quantum, Digital ID and more. The Prog…",True,40000.0,2026-07-10,GBP,United Kingdom
artificial intelligence,gb,5836822331,Artificial Intelligence (AI) Offensive Security Analyst - Citi,Citi,"London, UK",IT Jobs,,full_time,63993.81,63993.81,1,2026-08-11 15:45:25+00:00,"Discover your future at Citi Working at Citi is far more than just a job. A career with us means joining a team of approximately 219,000 dedicated people from around the globe. At Citi, you'll have the opportunity to grow your career, give back to your community and make a real impact. Job Overview Why Citi Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governme…",True,63993.81,2026-08-11,GBP,United Kingdom
artificial intelligence,gb,5838278302,Artificial Intelligence (AI) Offensive Security Analyst - Citi,Citi,UK,IT Jobs,,full_time,60656.46,60656.46,1,2026-08-12 14:05:11+00:00,"Discover your future at Citi Working at Citi is far more than just a job. A career with us means joining a team of approximately 219,000 dedicated people from around the globe. At Citi, you'll have the opportunity to grow your career, give back to your community and make a real impact. Job Overview Why Citi Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governme…",True,60656.46,2026-08-12,GBP,United Kingdom
artificial intelligence,gb,5483508358,Computer Vision and Artificial Intelligence Engineer - Graduate Programme 2026,MBDA,"Bristol, South West England",Graduate Jobs,,full_time,48784.31,48784.31,1,2025-11-06 11:38:52+00:00,"Computer Vision and Artificial Intelligence Engineer - Graduate Programme 2026 Computer Vision and AI Engineers produce world-leading algorithms that use imaging sensors to provide situational awareness, and guide weapons to their target with maximum precision. Salary: £31,500 plus a £3000 joining bonus Dynamic (Hybrid) Working : 4-5 days per week on-site due to workload classification. Security Clearance : British Citizen or a Dual UK national with British citizenship. Restrictions and/or limi…",True,48784.31,2025-11-06,GBP,United Kingdom
artificial intelligence,gb,5785369774,Senior ML Quant Engineer - Fixed Income - Artificial Intelligence,Bloomberg,"London, UK",Scientific & QA Jobs,,,97223.42,97223.42,1,2026-07-02 12:39:33+00:00,"Senior ML Quant Engineer - Fixed Income - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10049296 Description & Requirements Bloomberg’s Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense ve…",True,97223.42,2026-07-02,GBP,United Kingdom
artificial intelligence,gb,5640497400,Senior ML Quant Engineer - Fixed Income - Artificial Intelligence,Bloomberg,"London, UK",Scientific & QA Jobs,,,97214.62,97214.62,1,2026-02-21 21:48:48+00:00,"Senior ML Quant Engineer - Fixed Income - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10049296 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense ve…",True,97214.62,2026-02-21,GBP,United Kingdom
artificial intelligence,gb,5785366642,Senior AI Engineer - Generative AI & Search - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,78194.63,78194.63,1,2026-07-02 12:37:05+00:00,"Senior AI Engineer - Generative AI & Search - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10050592 Description & Requirements Bloomberg’s Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dens…",True,78194.63,2026-07-02,GBP,United Kingdom
artificial intelligence,gb,5769942783,Senior AI Engineer - Generative AI & Search - Artificial Intelligence,Bloomberg,"London, UK",IT Jobs,,,80342.5,80342.5,1,2026-06-20 01:43:53+00:00,"Senior AI Engineer - Generative AI & Search - Artificial Intelligence Location London Business Area Engineering and CTO Ref  10050592 Description & Requirements Bloomberg's Engineering AI department has 400 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dens…",True,80342.5,2026-06-20,GBP,United Kingdom
artificial intelligence,gb,5809434567,Apprenticeship Trainer and Skills Coach – Artificial Intelligence (AI) & Automation Practitioner,Pertemps Specialist Talent Solutions,"Northampton, Northamptonshire",Teaching Jobs,permanent,full_time,40000.0,48000.0,0,2026-07-21 16:17:42+00:00,"Job Title: Apprenticeship Skills Coach – Artificial Intelligence (AI) & Automation Practitioner (Level 4) Location: Remote / Hybrid (UK) Salary: £40000-£48000 per annum Contract: Full-time / Permanent 25 days bank holidays Flexible working About the Role We are seeking an experienced and engaging Apprenticeship Skills Coach to support learners completing the Artificial Intelligence (AI) & Automation Practitioner – Level 4 apprenticeship. In this role, you will coach apprentices who are developi…",True,44000.0,2026-07-21,GBP,United Kingdom
artificial intelligence,gb,5680720173,International Standards Verifier - International BTEC - Artificial Intelligence - Int Based,Pearson,"London, UK",Teaching Jobs,,,33590.39,33590.39,1,2026-03-27 22:00:24+00:00,"Please Note: This vacancy is for applicants based outside of the UK. We offer both remote and in-person contracts. If you are based within the UK, please apply via the relevant UK vacancy. Purpose The Standards Verifier plays a key role in maintaining the integrity and consistency of vocational qualificationsby ensuring that assessment and internal verification practices meet national standards. This involves providing expert subject-specific support to centres, conducting sampling and verifica…",True,33590.39,2026-03-27,GBP,United Kingdom
artificial intelligence,gb,5680720172,International Standards Verifier - International BTEC - Artificial Intelligence - UK Based,Pearson,"London, UK",Teaching Jobs,,,34379.09,34379.09,1,2026-03-27 22:00:24+00:00,"Please Note : This vacancy is for applicants based within the UK who are interested in International BTEC Verification. We offer both remote and in-person contracts. If you are based outside of the UK, please apply via the relevant international vacancy. Purpose The Standards Verifier plays a key role in maintaining the integrity and consistency of vocational qualificationsby ensuring that assessment and internal verification practices meet national standards. This involves providing expert sub…",True,34379.09,2026-03-27,GBP,United Kingdom
